problem,nx,nt,ny,n_iterations,num_domain,seed,pinn_time,fdm_time,residual_estimation_time,stability_flag,pinn_error_l2,pinn_error_relative_l2,e_res_vs_true_l2,e_res_vs_true_relative_l2,e_fdm_vs_true_l2,e_fdm_vs_true_relative_l2,prob_x_min,prob_x_max,prob_t_max,prob_diffusivity,prob_frequency,prob_velocity_x,prob_phase_shift,prob_propagation_speed,prob_initital_concentration,prob_y_min,prob_y_max
poisson_1d,256,32,16,0,100,8,0.0012359619140625,0.00005507469177246094,0.0005691051483154297,false,0.6997944479901258,0.991597407933391,8.89233212899064e-6,0.000012707062987610486,8.926404123405047e-6,0.000012755751562537403,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
heat,32,32,16,0,10000,3,0.007035732269287109,0.0006871223449707031,0.012433052062988281,false,0.4268354836162278,1.2099971976648127,0.0008461867532765729,0.001982465811200898,0.0006581365706071615,0.0015418975129042895,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
poisson_1d,16,32,16,0,10,8,0.0011990070343017578,0.00002193450927734375,0.0003299713134765625,false,0.6789003594676772,0.9915974431435006,0.0024986239641945083,0.0036803986466492195,0.0025081860605056672,0.0036944833295895207,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
wave,256,256,16,0,10,5,0.0017931461334228516,0.0008878707885742188,0.1994030475616455,false,0.8672555386307077,1.734524310682187,0.000031204858436319026,0.00003598115785525884,0.000015783443300198566,0.000018199299511097645,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
heat,16,16,16,0,10,2,0.0015568733215332031,0.0003421306610107422,0.005469083786010742,false,0.4256369016554852,1.2051981192144576,0.003588900926176133,0.008431836883074167,0.002749210983530936,0.006459052241095803,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
drift_diffusion,256,256,16,0,10000,7,0.006392955780029297,0.011974096298217773,0.22668695449829102,false,0.864175224770329,2.4471486276126204,0.0003114665225119129,0.0003604205647005108,0.00023700549940490983,0.0002742562996617943,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
drift_diffusion,16,16,16,10000,1000,2,24.995678901672363,0.0003020763397216797,0.009408950805664062,true,0.0071134204102847355,0.019592163444556037,0.009272684624036303,1.303547954318787,0.06769679643284385,9.516771472548625,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
drift_diffusion,32,32,16,10000,100,7,13.600178241729736,0.0007419586181640625,0.01921391487121582,false,0.10595995013016846,0.2960430435866313,0.05132485382227554,0.48437974686874175,0.015825675346876712,0.1493552547678189,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
drift_diffusion,32,32,16,0,1000,4,0.0027730464935302734,0.0006320476531982422,0.018143892288208008,false,0.8364808190730291,2.3370559091053447,0.020688035926587,0.024732229902788512,0.015825675346876712,0.018919352346195337,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
poisson_1d,64,32,16,0,1,1,0.0014216899871826172,0.000036716461181640625,0.0005650520324707031,false,0.7320563322226301,1.0434681839982636,0.000149736470407716,0.00020454227880673358,0.00014539741646764722,0.00019861506562780405,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
drift_diffusion,128,128,16,0,1,6,0.0022161006927490234,0.004353046417236328,0.12137889862060547,false,0.8577909627421516,2.424269070266391,0.0012512126319415091,0.0014586451551572457,0.0009525133211054325,0.00111042592248871,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
heat,128,128,16,10000,10,6,7.90585994720459,0.0039501190185546875,0.0655670166015625,false,0.11057199892537407,0.31367530498045987,0.00003795041922998548,0.0003432190753429219,0.00003992627534176886,0.00036108848288720355,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
poisson_1d,128,32,16,0,100,6,0.00125885009765625,0.00003814697265625,0.0005371570587158203,false,0.65597419235734,0.9313327513556215,0.000034604150516816475,0.0000527523047704992,0.00003591751011898671,0.00005475445610125581,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
drift_diffusion,64,64,16,0,0,1,0.0021288394927978516,0.0015249252319335938,0.03711676597595215,false,0.8515617030136636,2.397295205213211,0.00505052668417155,0.005930899271653262,0.003851464283566381,0.004522824676046502,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
poisson_1d,128,32,16,10000,100,9,7.738913059234619,0.000041961669921875,0.0006570816040039062,false,0.00008920279761778594,0.00012664749299883286,7.706096959323956e-8,0.0008638851207710122,0.00003591751011898671,0.4026500410093073,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
wave,8,8,16,0,1,1,0.0021300315856933594,0.000030994415283203125,0.0038480758666992188,false,0.8292312180481041,1.671573015105873,0.043390295727607,0.052325931276130395,0.018958173771005418,0.022862349316310523,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
wave,8,8,16,10000,10000,7,144.45493721961975,0.00003314018249511719,0.0034859180450439453,false,0.001066551608616266,0.0021499659556682158,0.001034526861328971,0.9699735605584615,0.018958173771005418,17.77520526700044,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
heat,64,64,16,0,1,8,0.002413034439086914,0.0015821456909179688,0.024871826171875,false,0.4358957931425805,1.2362905483262148,0.00020579979619533728,0.00047213072351909714,0.00016125998597565447,0.00036995077381466417,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
poisson_2d,256,32,256,0,100,7,0.0018939971923828125,0.14050698280334473,0.16381001472473145,false,0.5221103560640048,1.048315695312825,6.391853659413845e-6,0.000012242342227416526,6.299580846651019e-6,0.000012065611749479953,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
poisson_2d,64,32,64,10000,10000,6,142.72966408729553,0.004421234130859375,0.00877690315246582,false,0.00002699313811586321,0.00005484320125127761,3.3564595671998405e-7,0.012434491880048939,0.00010200512199543541,3.7789278726029853,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
poisson_1d,8,32,16,10000,1,6,5.882675886154175,0.000018835067749023438,0.0003199577331542969,false,0.09895106335549142,0.14959994605944385,0.0026616411298406683,0.026898560152693443,0.011214972573078455,0.11333857558243263,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
poisson_1d,128,32,16,10000,1,8,5.730218172073364,0.00004076957702636719,0.0006661415100097656,false,0.12846122948941005,0.18238545311204035,0.000015381589359251276,0.00011973721114446654,0.00003591751011898671,0.00027959805664126556,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
drift_diffusion,256,256,16,0,1,7,0.002092123031616211,0.013727903366088867,0.24192118644714355,false,0.864175224770329,2.4471486276126204,0.0003114665225119129,0.0003604205647005108,0.00023700549940490983,0.0002742562996617943,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
wave,8,8,16,0,10000,0,0.008371829986572266,0.000029087066650390625,0.00362396240234375,false,0.8285386607812629,1.6701769508797912,0.043366596447309474,0.05234106566182118,0.018958173771005418,0.022881459451908955,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
wave,16,16,16,0,100,9,0.0020918846130371094,0.00004887580871582031,0.007365226745605469,false,0.8502327949405885,1.7037965736608487,0.009202177828339445,0.010823127363585714,0.004322163832073661,0.005083506373540531,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
heat,32,32,16,10000,100,2,9.018018007278442,0.0006039142608642578,0.011795997619628906,false,0.00024786536545404094,0.0007026510426373366,0.00004957686820873032,0.20001531120693355,0.0006581365706071615,2.655217962385823,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
wave,256,256,16,10000,1000,6,27.90100598335266,0.0008649826049804688,0.20024919509887695,false,0.0002787700927931367,0.0005575444393289965,7.513429591127844e-7,0.0026952064749286224,0.000015783443300198566,0.05661813698180715,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
heat,16,16,16,0,10000,3,0.007035732269287109,0.00031280517578125,0.0067021846771240234,false,0.4198793525516468,1.1888955210979828,0.0035860667227324166,0.008540707469751838,0.002749210983530936,0.006547621279359698,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
drift_diffusion,128,128,16,0,1000,3,0.002393960952758789,0.004149913787841797,0.0985562801361084,false,0.8512570124427743,2.4058029703592516,0.00125006130453815,0.0014684887011396984,0.0009525133211054325,0.0011189491624534077,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
drift_diffusion,32,32,16,0,10000,8,0.006031036376953125,0.0007290840148925781,0.019365787506103516,false,0.838245160544792,2.34198532836786,0.020692177524995133,0.024685114211153783,0.015825675346876712,0.01887953082436085,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
poisson_2d,16,32,16,10000,10000,2,142.6684319972992,0.00017786026000976562,0.0013511180877685547,false,0.0001493010844457774,0.0003185089801509917,4.090424946544108e-6,0.027397154961904605,0.00171723760469867,11.501842810265586,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
heat,128,128,16,10000,10,4,7.6085193157196045,0.0038559436798095703,0.07308292388916016,false,0.10276256306716082,0.29152116832418346,0.000056178367318028644,0.0005466812586341685,0.00003992627534176886,0.00038852938414619796,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
wave,256,256,16,0,1,9,0.0023207664489746094,0.0008420944213867188,0.20663714408874512,false,0.8678367236477328,1.7356866895845182,0.000031208923494872035,0.00003596174561926026,0.000015783443300198566,0.000018187111550035404,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
wave,16,16,16,10000,10,0,12.484607934951782,0.000049114227294921875,0.0071108341217041016,false,0.4168652441214328,0.8353636543295423,0.00780945786265238,0.01873377061959496,0.004322163832073661,0.010368251834433611,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
